Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,,,,,,,,,,,,,,,,,,,,,,,,,-0.231583281,-0.557996802,-0.739800765,-0.859119057
ALB,,,,,,,,,,,,,,,,,,,,-0.769019283,-1.173750163,-1.006750139,-0.753623917,-0.1046362,-0.269192268,-0.180392775,-0.365290174,-0.342565773
DZA,,,,,-1.291740343,-1.380682843,-1.502103377,-1.373267885,-1.430891935,-1.246373489,-1.38779309,-0.801102182,-0.67511029,-0.501360885,-0.279095248,-0.54318187,-0.611213607,-0.424125939,-0.536840468,-0.293956418,-0.185347674,-0.606032873,-1.272765138,-1.809160574,-1.492957469,-1.469856195,-1.204358487,-1.108850674
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,,,,-0.051536925,0.014438597,0.006440095,0.064704486,0.043896634,0.155699348,0.173828167,0.223422348,0.160448535,0.288757493,0.244960925,0.320730112,0.385049201,0.416461693,0.577388096,0.554223768,0.549479463,0.681816366,0.847676009,0.814265622,0.987731082,0.970965263,1.102821159,1.117795151
ARM,,,,,-1.467286739,-1.570194795,-1.512302704,-1.64445184,-1.848251354,-1.782714555,-1.815966998,-1.512615196,-1.199545281,-1.044338557,-0.721840723,-1.032345682,-1.079045135,-0.771896659,-0.874990017,-0.628364367,-0.446501104,-0.535375339,-0.981480132,-0.853313584,-0.624106536,-0.517060329,-0.577933158,-0.625444257
AUS,,,,,2.604073596,2.501965245,2.400523288,2.421287498,2.41305088,2.354178606,2.322387822,2.475375491,2.410099567,2.320005109,2.16235229,2.378013628,2.391635105,2.261492653,2.270025436,2.08989195,2.022270523,2.247812876,2.347687333,2.067796368,1.972385175,2.079946439,2.092272154,2.184815772
AUT,,,,,0.860576621,0.85189178,0.747512094,0.901473895,0.827719644,1.047721747,0.97635564,1.269784517,1.249940869,1.282884399,1.29891633,1.279390164,1.379455347,1.330636328,1.37159418,1.3083365,1.300588923,1.294970567,1.417661308,1.043480596,1.314280027,1.55786883,1.560944914,1.694148887
AZE,,,,,-1.993268549,-1.990690945,-2.15799072,-2.636103923,-2.729665444,-2.215196348,-1.984676055,-1.607288438,-1.483157814,-1.071073567,-0.818298488,-1.242283139,-1.441123211,-1.260218489,-1.431434576,-0.948967459,-0.732539477,-1.046475325,-1.871017238,-2.435138385,-2.088065709,-1.80968289,-1.509811078,-1.658703048
BGD,,,,,-0.208396041,-0.287261381,-0.259513976,-0.316016254,-0.269504524,-0.417649927,-0.135946942,-0.262408735,-0.422371924,-0.570630569,-0.674215265,-0.63301032,-0.651830132,-0.684942136,-0.701643193,-0.555039172,-0.585069707,-0.510272638,-0.5820234,-0.55462088,-0.585221195,-0.450329228,-0.510280477,-0.343270477
