Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,,,,,,,,,,,,,,,,,,,,,,,-0.727344997,-0.744802082,-0.939310145,-1.021957911,,
DZA,,,,,,,,-0.93321748,-1.016065085,-0.776977092,-1.281636923,-0.388877465,-0.083864985,-0.337836966,-0.293007285,-0.88913036,-0.878925094,-1.319095887,-1.228095775,-1.231277689,-1.070961574,-0.882856758,-0.561299707,-0.460073315,-0.576459061,-0.466941759,-0.854164832,
AGO,,,,,,,,,,,,,,,,,,,,,,,,-1.353261221,,,,
ARG,,,,,-0.651357118,0.037631755,0.011916284,-0.163909083,0.048167675,-0.17955793,-0.195548751,0.13943633,0.239274148,0.148146193,-0.003676499,0.189360454,0.096900598,0.113531101,0.026078972,0.12796557,0.218146458,0.168526091,0.313030013,0.271996264,0.284074998,0.183469709,-0.100949847,
ARM,,,,,,-1.533885447,-1.027775204,-1.129484204,-0.946196637,-0.912891973,-1.055268901,-0.941659171,-0.904212952,-0.909985011,-0.772792033,-1.250846404,-0.754713505,-0.733242552,-0.284815102,-0.542049805,-0.716662955,-0.514257109,-0.625095553,-0.50211288,-0.604759687,-0.656536643,-0.725221058,
AUS,,,,,1.08342017,1.073813299,1.166631556,1.202295528,1.276352225,1.305029293,1.28444917,1.246956866,1.231034611,1.271104996,1.261471216,1.339218159,1.303052903,1.333572458,1.278564198,1.271023161,1.208614576,1.158100076,1.174210056,1.1800513,1.110759454,1.146030023,1.105872742,
AUT,,,,,1.108638016,1.162747039,1.188131744,1.228059727,1.191054962,1.29735667,1.315388928,1.351066584,1.414419903,1.339733283,1.335532362,1.320512851,1.199400945,1.289637266,1.378819592,1.455521334,1.454127919,1.448645675,1.532420096,1.510326012,1.505705351,1.493996074,1.496434009,
AZE,,,,,,,,,,,-1.502301728,-1.298989706,-0.857585302,-0.991556071,-0.939443579,-1.056759265,-0.929908241,-1.346004121,-0.769122013,-0.443697224,-0.402350726,-0.518845797,-1.026139576,-0.995316033,-0.69183863,-0.759719317,-1.081541347,
BGD,,,,,,,,,,-2.269519623,-2.302244151,-2.046230408,-2.488082721,,,,-1.869763515,-1.689805487,-1.327477474,-1.293013107,-1.483025802,-1.322734722,-1.519600694,-1.526599585,-1.378658101,-1.437971977,-1.350677528,
BLR,,,,,0.118977258,-0.083013067,-0.14080192,-0.304820357,-0.234739904,-0.082040756,-0.119432206,-0.084217415,-0.215649559,-0.108148647,-0.213619804,-0.358818866,-0.162953194,-0.25009574,-0.217134263,-0.295655682,-0.196188378,-0.284033578,0.063363282,-0.001805034,0.037033382,-0.322602212,-0.61685071,
BEL,,,,,0.725834648,0.665121876,0.589144628,0.557560285,0.596846459,0.623556309,0.82013892,0.90136222,0.882614913,0.788605155,0.702454339,0.784520994,0.937826845,0.803236787,0.944296991,1.030144405,1.007879914,1.160948935,1.122152985,1.136065447,1.047057968,1.023345987,1.0805026,
BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,,,,,,,,,,,,,,,,,,,,-1.824661376,-1.651454024,,,,,,,
BIH,,,,,,,,,-0.223708989,-0.38311959,-0.222145745,-0.056683836,0.078464997,0.175833486,-0.080051267,-0.025782148,-0.001871863,-0.038159377,-0.072367184,-0.139967861,-0.463849841,-0.758301714,-0.89040641,-0.725525709,-0.414244384,-0.300841156,-0.0717348,
BWA,,,,,,,,,,,,,,,,,,,,-2.746002173,,,,,,,,
BRA,,,,,0.784102682,0.806375554,0.883167893,0.865526608,0.933707506,0.91199973,1.037721711,1.047202354,0.988947781,0.965752299,0.825008129,0.995348263,1.011575902,0.980780261,1.068526937,1.018319122,1.069050219,1.171270294,1.189172049,1.148527436,1.188487926,1.180880384,1.149055479,
BGR,,,,,0.220585807,0.366193942,0.519628256,0.43345657,0.232129329,0.182603898,0.163517297,0.065171204,0.306662714,0.231756958,0.233724266,0.276310503,0.178206221,0.216904894,0.275800957,0.322829207,0.327775315,0.232486198,0.367519279,0.483536289,0.529760203,0.572692979,0.33903132,
BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,,,,,,,,,,,,,,,,,,,,,,,-2.362856097,-2.447009079,-2.581595632,-2.651474175,,
CMR,,,,,,,,,,,,-1.842132516,-1.841325832,-1.954702401,-1.706086716,-1.217947394,-1.157545009,-1.112645838,-1.554435661,,,-1.16342952,-1.209336844,-1.605846267,-2.736745394,,,
CAN,,,,,0.966583757,0.955245593,0.91298468,0.988404102,0.964432237,0.956556052,1.002261418,1.028743241,0.968273897,1.1417227,1.100154686,1.15296621,1.107391403,1.112360483,1.147163522,1.17763019,1.148994326,1.205297232,1.125680102,1.155013975,1.077874939,1.015233387,1.196001069,
TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,-0.711823436,-0.362898544,-0.553433087,-0.536532297,-0.483798813,-0.511326663,-0.219238789,0.047656919,0.061993759,-0.052977004,-0.085972735,0.314010065,0.562111553,0.710958378,0.671300368,0.771056419,0.715803038,0.840132623,1.007467252,1.067630686,1.015722273,1.06202908,0.857505182,
CHN,,,,,0.628235812,0.698665441,0.925998607,1.037921499,1.01920735,1.058972749,1.174312793,1.12686376,1.19281093,1.459585573,1.527828796,1.598823358,1.448301899,1.391026904,1.367039827,1.34263354,1.272936723,1.179302014,0.952535668,0.680547922,0.678667671,0.718646332,0.806298015,
TWN,,,,,0.658970633,0.632527064,0.663607501,0.555711254,0.507742495,0.764735031,0.785500923,0.882400794,0.967621874,1.063952298,1.015605839,1.006559271,0.875179802,0.690079567,0.771593725,0.829457705,0.861461147,0.699412934,0.789260181,0.59433099,0.666010274,0.601270503,0.660936893,
COL,,,,,-2.076424158,-1.633373356,-1.07018341,-1.006126803,-0.408822016,-0.176829211,0.206221603,0.192922553,0.316151064,-0.064818973,-0.198418866,-0.120059965,0.221953228,0.382244138,0.330624978,0.443599512,0.355072021,0.418230051,0.4548788,0.550578547,0.698746619,0.673497689,0.534752009,
CRI,,,,,-1.14760617,-0.794100242,-0.138213842,0.435937948,0.155275491,-0.134502102,-0.415122609,-0.482488616,-0.650513647,-0.886437095,-0.574479884,-0.531976125,-0.389055087,-0.473417525,-0.741163968,-0.638371468,-0.623667971,-0.377971616,-0.307864237,-0.171990627,-0.471569593,-0.706220205,-0.715842974,
CIV,,,,,,,,,,-0.467220839,-1.034425076,,,,,,,,,,,,-2.067432713,-1.556949917,-1.716388841,,,
HRV,,,,,-0.604371417,0.360382515,0.570587505,0.81374622,0.77722994,0.670299633,0.681520166,0.774769492,0.850837935,0.670474683,0.655537118,0.477498048,0.435637422,0.43066181,0.274188558,0.2299875,0.313020835,0.387934905,0.40035404,0.413780596,0.361440888,0.341058512,0.167667501,
