Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,3464294299,4486530065,4527758073,3725548029,4595147947,7558584727,6329854988,7534594031,8901102383,12015926286,20858288352,30065572674,44353326967,63202955893,42009022299,52898531621,67843278398,73395178748,70694445489,59737196290,36552625787,30545629166,37116226877,43552121873,36834809814,23464729744,34054350534,52781176599
BEN,49334497,62109000,59494011,191520769,109860865,104508715,111885867,145183962,236591599,275329786,325690507,450236060,340100911,547758647,440836715,1047282497,889485462,1023842842,889010288,1517838894,763866232,654487955,782985131,803325572,1158485983,734505538,1480097783,1023163512
BFA,107552118,116088589,89812343,122755512,102910707,99080008,102287802,123591208,108482416,160527164,114175537,192120243,239671240,457525240,761362253,1256833232,2263477568,3420118931,3352625854,2620435456,3035970152,3557168769,4515604038,5254301353,5572575397,7914671098,8549385764,7590731998
BWA,NaN,NaN,NaN,NaN,NaN,3090061732,2475017525,3964470382,3396174832,3400054000,4627407146,4572189998,4872567592,4588295469,2860580294,4538062307,5469340751,6191637363,6934649964,7038638501,5589166490,6926914117,5984700258,6453845642,5123814383,4322932868,7319797553,8190792722
CIV,3756849073,4199865246,4024934306,4107847559,4329281989,3835239313,3465715360,4576336253,4748000574,5539788783,6015629169,6893550346,6975325476,8968000551,9137150922,8741669878,9942289997,9745883851,9888661918,10921795456,10433650594,10290181608,10598982813,10631425041,11487908150,11379024581,13120346823,13629904303
CMR,1768203852,1983741807,2204964803,1718422959,1741830138,2208229340,1941022333,1889115009,2419782227,3085364119,3488320815,4165748655,4753878897,4921425839,3152991148,4081006186,3649954539,4306331016,4997622728,5221797057,4226597351,3439818881,3804759727,4414803755,4486730863,3988114015,4432398380,6589066706
COD,1472281294,1567603029,1247688907,1046823315,1151173448,1149747954,1093953748,1428076786,1052407572,1172655195,1398989253,1423723542,2022545403,3612770958,2654939368,5147381021,6344336277,6634425288,6904898329,8067550522,8487759013,6808670183,12128515358,15614588219,14127979837,15616466825,23289037988,27534844992
COG,1527812755,1523508693,2330775820,1423010216,1742712196,2952698358,2286417488,2012217198,2501843910,3947998441,5853881389,8857924732,6830014490,13229125228,5980770590,8284558800,12642606446,7279006922,11344349111,9881478649,6553317736,5098872930,7209256493,11923973803,9818824650,6985017522,5968952946,12375311103
DZA,10735236821,11509847325,15172993389,10692556246,13973862912,23590569603,19961386704,19844120598,25465604383,32937761221,47094164815,55970868227,61912986963,82042465826,47606025338,60205893432,75475566397,74438006996,70930717350,61775407054,37440539425,30958339412,37227387002,37650706504,32027557270,18792789319,32582096354,54684307570
EGY,4248034260,4901712320,4388182172,3302196671,3482746657,4174800635,3922984454,4699019441,6047975192,8591134020,11512818435,16733788645,17939592852,24641914764,20858707692,23650574814,27724176494,24133691625,23093000202,20023616168,16815768323,18180387236,19518298454,22479496477,22802031196,21162107239,26562767449,32835502069
