Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ARE,23.0,23.0,36.0,42.0,41.0,45.0,56.0,66.0,64.0,67.0,78.0,83.0,105.0,126.0,127.0,134.0,138.0,141.0,150.0,167.0,156.0,139.0,126.0
ARM,,19.0,24.0,25.0,31.0,33.0,32.0,40.0,41.0,39.0,37.0,31.0,33.0,40.0,41.0,49.0,45.0,47.0,48.0,42.0,48.0,42.0,33.0
ARG,50.0,68.0,78.0,81.0,88.0,82.0,85.0,95.0,106.0,120.0,117.0,120.0,119.0,123.0,129.0,123.0,129.0,126.0,145.0,145.0,151.0,145.0,138.0
AUT,262.0,275.0,289.0,284.0,287.0,277.0,290.0,304.0,299.0,310.0,311.0,310.0,319.0,310.0,307.0,298.0,314.0,311.0,319.0,329.0,325.0,318.0,315.0
AUS,298.0,308.0,303.0,299.0,308.0,303.0,293.0,297.0,296.0,296.0,298.0,298.0,298.0,309.0,313.0,311.0,302.0,293.0,293.0,303.0,303.0,304.0,294.0
AZE,,,,,,,13.0,15.0,29.0,35.0,32.0,30.0,23.0,26.0,39.0,45.0,42.0,37.0,29.0,42.0,46.0,47.0,43.0
BIH,,,,,32.0,36.0,39.0,41.0,37.0,46.0,53.0,57.0,55.0,44.0,49.0,45.0,40.0,44.0,39.0,39.0,39.0,30.0,21.0
BGD,,,,,,17.0,17.0,15.0,15.0,,,,14.0,22.0,25.0,32.0,36.0,35.0,33.0,33.0,36.0,26.0,25.0
BEL,178.0,180.0,174.0,186.0,193.0,205.0,206.0,201.0,189.0,195.0,193.0,204.0,215.0,212.0,223.0,221.0,232.0,242.0,244.0,245.0,252.0,247.0,263.0
BGR,77.0,91.0,92.0,101.0,100.0,106.0,101.0,103.0,109.0,106.0,112.0,123.0,123.0,128.0,137.0,134.0,145.0,147.0,152.0,158.0,165.0,162.0,139.0
BHR,,,,,,,,14.0,18.0,18.0,19.0,17.0,,,22.0,31.0,35.0,37.0,29.0,23.0,22.0,18.0,14.0
BRA,167.0,170.0,180.0,196.0,212.0,228.0,234.0,250.0,267.0,261.0,260.0,266.0,273.0,278.0,301.0,306.0,312.0,316.0,322.0,314.0,307.0,284.0,271.0
BLR,52.0,46.0,57.0,77.0,86.0,96.0,95.0,88.0,82.0,85.0,76.0,78.0,80.0,84.0,83.0,90.0,97.0,99.0,103.0,108.0,102.0,92.0,73.0
CAN,255.0,253.0,242.0,244.0,234.0,244.0,239.0,257.0,269.0,289.0,276.0,266.0,272.0,275.0,283.0,287.0,285.0,297.0,291.0,310.0,311.0,289.0,285.0
CHE,271.0,288.0,271.0,272.0,260.0,254.0,243.0,238.0,242.0,241.0,232.0,226.0,236.0,237.0,255.0,257.0,252.0,253.0,242.0,247.0,261.0,263.0,262.0
CHL,37.0,46.0,47.0,49.0,51.0,58.0,65.0,72.0,84.0,88.0,113.0,127.0,134.0,162.0,168.0,166.0,182.0,191.0,201.0,208.0,215.0,209.0,196.0
CHN,187.0,188.0,117.0,123.0,150.0,152.0,199.0,207.0,199.0,195.0,181.0,169.0,161.0,162.0,153.0,151.0,140.0,145.0,143.0,154.0,151.0,158.0,161.0
COL,24.0,28.0,33.0,51.0,69.0,90.0,93.0,102.0,103.0,107.0,109.0,128.0,134.0,143.0,160.0,170.0,180.0,179.0,194.0,203.0,216.0,212.0,178.0
