Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ARE,4.483856189774723,4.378783493486176,4.953213053667204,5.0406544547579,4.9986525468781675,5.121594068191316,5.581540276412357,5.924053231674203,5.852032201524053,5.9769267771261925,6.061272722255655,6.1024638895183845,6.437466043275824,6.678431130787701,6.721575705076894,6.710983842580969,6.814327149713949,6.817789331233221,6.9005638186378615,7.086408253092759,7.0240340179794085,6.888342190857679,6.756047783814741
ARM,,4.16829583405449,4.481727678869737,4.5012955750752495,4.7595131763704766,4.892187677351649,4.84349980576557,5.197813771162591,5.249065312928605,5.147549837385553,5.116264615668023,4.921928094887362,5.053055907333275,5.044666479173702,5.074380392652629,5.240128620454198,5.065584862231544,5.2754866568443095,5.24067992295922,4.96709639388896,5.0661593026329115,4.732951874574015,4.477978490920224
ARG,5.098921015217681,5.516852444744845,5.596177469218329,5.644821961307057,5.795798637669224,5.677019563851393,5.859473323516453,5.916865817638226,6.076122793312798,6.219901469788613,6.090802785067823,6.207353605881624,6.220564242935051,6.467365169921632,6.503936828867471,6.516406776521967,6.528956162390734,6.424526367537753,6.7046416428142495,6.79756377742663,6.93955227127434,6.985250475146632,6.844474761036323
AUT,7.756522514642049,7.754559606065256,7.788202128111359,7.7813016675190365,7.710053519860674,7.7095909428702685,7.737341788511328,7.808761771415609,7.824076706009559,7.831476555286913,7.815066596674937,7.809204206502019,7.834163050845418,7.861274307178349,7.858512120898024,7.899598678702926,7.956696276610555,7.999046223469602,8.046224228251816,8.072909136079016,8.07183532671316,8.048739530775213,8.03294852760524
AUS,7.7235507655658875,7.716958399053865,7.664920039194695,7.5941359921950315,7.566240882488035,7.576119630797245,7.614435496609333,7.641570136239458,7.660386123406412,7.641160468685146,7.6210816659953355,7.616197652650081,7.632271405436531,7.678917486966667,7.735596380810785,7.761764022741637,7.7714890063211675,7.772157483819056,7.7654749292139975,7.7625728468488155,7.743202732643223,7.7230039235412065,7.683799162650386
AZE,,,,,,,3.4138338639736006,3.5726236638951625,4.56204941845256,4.945622498257699,4.898918013999289,4.835157287791462,4.411204418927661,4.656213285053122,5.306170651709184,5.476725395303503,5.421554168830137,5.186704345910023,4.836591668108977,5.426929277209555,5.594309137239127,5.632560210342117,5.416691881561027
BIH,,,,,4.987729629951762,5.152569011092754,5.354285871987248,5.309035020064294,5.024521176767082,5.47939445649892,5.686050424898129,5.874507608588368,5.8538848972455995,5.425704882778696,5.620191701385381,5.3824800468590475,5.29484749777235,5.32692234147113,5.136130095828673,5.226251077223194,5.1336606896881865,4.836591668108977,4.349648912578752
BGD,,,,,,4.055958151615124,3.9387218755408675,3.7849418274376423,3.7871439606981383,,,,3.734521664779752,4.194388488997389,4.469999278451778,4.637906266236364,4.704714190875898,4.8993146756733665,4.786913536635865,4.830050351464738,4.997350044270093,4.4827972152448865,4.542055982805472
BEL,6.898936912930515,6.845431059343848,6.81846166706421,6.818485801914404,6.893583963593779,6.933130744383837,6.977176236974927,7.015430311135737,7.044836133570454,7.084790940605719,7.124572956015977,7.1990819307961145,7.258239991171238,7.2855034679196695,7.315476284041583,7.387009503594809,7.448838799592247,7.54179121229467,7.589801635998225,7.588277152485674,7.6223348321987325,7.612238613044983,7.623144603710606
BGR,6.202395568800079,6.347667630085438,6.430046181177809,6.55955433724316,6.5741839471301775,6.697078222988637,6.6311188064277005,6.456082212810987,6.6462510789942035,6.600455935510398,6.645285399939649,6.7455595848732415,6.803817984774952,6.832093669853486,6.96607080225491,6.9670417479617885,7.015494150817417,6.902657039837522,6.972010241099822,7.037112398541455,7.1147713295966994,7.184294640137873,6.944788833721424
