Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,,,,,,,-0.0,-0.0,0.9321115676166747,1.8984932781012023,1.9045976710109036,1.8299772694789285,1.7547287597281225,1.4108778551774694,1.3622088658255729,1.4078830319692095,0.8617382781509055,1.4010541379556751,1.4595603823454788,2.3109437876009276,3.031961858231015,2.3788569140184297,1.884812799663313
ALB,0.9886994082884974,-0.0,-0.0,,-0.0,-0.0,0.8189555018403103,1.409975018822061,1.4513295017951653,1.4857517236523323,1.7460374154355653,2.3380453390240676,2.3410563989819604,2.8089832974333118,1.9113701950967181,3.1475619206192396,3.7802865347273302,4.179844812944911,4.422568836020127,4.58553714694941,4.6642159069654,4.77926141656066,4.694323140724261
DZA,4.9580306432777315,4.928801118533389,5.106577844355708,5.330257151427392,5.475382371620141,5.6160225613192605,5.697436872272902,5.838534427120127,5.967626153433448,6.103795060323841,6.221719169145517,6.301201842981714,6.326413309911144,6.359982898426712,6.402601804295346,6.407283522365622,6.46623112416594,6.472313701196974,6.510635474379305,6.570830659714508,6.551578150388619,6.545319260943744,6.549917504894175
AGO,,,,,,,,0.9995708393473224,0.9996995428565171,0.9917033083725818,0.9798687566511528,0.9922666387194963,1.4717941588402192,2.4232127255446314,2.19549470612411,1.8689430989222438,1.8183249562074755,1.4533114374010476,2.151014037163523,2.1138529395876873,1.7877003729604386,1.4024963520166014,0.999871756640849
ARG,6.759355267932341,6.800759646991351,6.830417100421171,6.850942437677247,6.870890819331415,6.905238348779188,6.929839884024792,6.970937038998643,7.002677355561233,7.0451265606886935,7.0834354541675815,7.121689757663956,7.1549625238324674,7.1787780609388046,7.204507146567851,7.227201977997512,7.261898146501662,7.296260148958673,7.3098904082701885,7.312365075234629,7.3166347253994015,7.3087792620113285,7.282868311250397
ARM,3.9282737940273935,3.973568025389135,3.8420123962387014,4.045369902888687,4.117691481578288,4.096018587782472,4.285374833406607,4.160077974091374,4.201299687912125,4.401806141779164,4.434845435421735,4.55236163520232,4.428366857817636,4.300558354805385,4.321323943470333,4.232553983222509,4.212252225036086,3.997784351238592,4.082302978193107,4.166897055045065,4.337530622523655,4.570279423920878,4.392749303715854
AUS,7.421376104778086,7.438326908126224,7.454644962646797,7.459299711982982,7.4631738377790215,7.455796699552118,7.462575307531667,7.472399118752314,7.490744248873337,7.507932071824183,7.528319165530604,7.551219286930749,7.563420417606638,7.574730031778671,7.579291496246335,7.580625342279873,7.58282110440752,7.584103385281663,7.583070750157141,7.582617701318602,7.579362795821239,7.577741532520506,7.573725516595527
AUT,7.059834503523966,7.08821551559592,7.117625576308384,7.13049822764418,7.1443736606429376,7.154574138450774,7.171471986131537,7.204715090694778,7.23642078490738,7.2752815144130105,7.309927603681473,7.340488096418935,7.364311868811197,7.387411263854412,7.40782405286853,7.428299408997782,7.442899278042339,7.457710571964664,7.467993932597492,7.477656002000763,7.4807075189731,7.480469166002129,7.474738170273879
AZE,2.42972558006402,2.1244702155224604,2.0991298718174374,2.755898586646593,2.760428685274386,3.223601651228014,3.8870320362421014,3.9516259233297513,3.7286429330039965,4.0503200421167405,4.218020836714007,4.318658732983042,4.539512546605558,4.552982839045281,4.437932751378591,4.544374627964401,4.395782561989064,4.631945133299742,4.739810673012829,4.984077732880512,5.126246459135164,5.391337781766879,5.409135188511136
BHR,1.909676297897887,1.6304732018676402,2.4532961449166253,2.5251798972784627,2.32581491464617,2.5518552316706415,3.0310740542555394,3.239734508988252,3.6787295132873896,4.012513192723028,3.9458699335224545,3.939414242142728,3.7702605131459577,3.7394508061463974,3.844852061131819,4.0339261214535185,4.292785671176597,4.764054435281087,4.826113730343132,5.246239335422396,5.200356744596165,5.19144811724184,5.2643117782662925
BGD,5.687457315877576,5.672188263255282,5.832280636552037,5.837636217296657,5.921131134352608,5.937227594957514,6.04975508636276,6.160804581532438,6.178426738540196,6.1761181039528115,6.294170560913254,6.384029366350686,6.474859080402018,6.532385712124222,6.588218661636022,6.59742764353025,6.6346612210452625,6.671209425932705,6.6063269381300165,6.62329052669764,6.500021192952418,6.578149930779032,6.676608801728014
BLR,5.254560312411228,5.28646003157898,5.259033059262032,5.208759784263665,5.28611309707478,5.277924224411436,5.252364240320181,5.294030028933636,5.218108569105461,5.242105080622659,5.305214297734824,5.422635929194458,5.447913797644065,5.317571211640228,5.326340730592819,5.3294210367117625,5.396367751693789,5.4406775077335325,5.485464774851202,5.523692843852529,5.607964593510782,5.702818965222918,5.677097352639069
BEL,7.116787412405208,7.124432704820432,7.13957971733693,7.154442584495148,7.182377897218268,7.203742277821108,7.228767446320233,7.25343486075015,7.275000736145761,7.305029873442457,7.34360151688877,7.37994133674971,7.413325358792617,7.4345449367832925,7.454016713975762,7.464434447016664,7.473565572524902,7.492139746578651,7.501449570460685,7.513596602762779,7.52570415924844,7.5294735331407505,7.528998587718949
BEN,2.8478531615324276,2.837198171985765,2.9022335229163825,2.9874404238987013,3.095418800175187,3.252689581690805,3.5858378138757425,3.8767062823583243,4.1332443566423125,4.080246656299945,4.193139998985396,4.210049616686477,4.258618427810628,4.463317640810065,4.62103539956511,4.642727282318268,4.759016045964509,4.669568712274004,4.913044611395905,5.205675498874168,5.087426643501939,5.142092080825275,4.774838298583619
BOL,3.9583649413052147,4.019919257267138,4.074115847442363,4.208475948247189,4.223015221622633,4.4203315702649775,4.549874647289451,4.600799138524053,4.719296254500716,4.840933790575416,4.9203010173680095,5.17855557007551,4.978359724562672,5.051580701482012,5.058563411387019,4.976621774527004,4.954175140522286,5.189778915668685,5.0297317947586055,4.875097683757839,4.736421947280209,4.502645445572533,4.2581703160493936
BIH,-0.0,-0.0,0.4995844074236609,0.46471655670512446,0.7551259040082023,0.6432088702786792,1.601206871281448,1.9426640620188143,2.8024674475391156,3.293170553069611,3.320768013804839,3.979583934795231,4.379777736781755,4.454768340259271,4.696413328029789,4.862600493577169,5.083917287202446,5.2371299789336705,5.412527228107074,5.593549622030845,5.588309531200877,5.552640988849391,5.42274061260516
BWA,3.538930062877171,3.8367421711468763,3.8653796467242967,3.8033266663680885,4.346005130225188,4.575382849719852,4.804039984324511,5.175245632550722,5.336605003849199,5.3978780354364435,5.323290572826985,4.875210497040077,5.10102653496116,4.855783827431094,4.777058887857326,4.831719214091727,4.6252176564756,4.711706147191655,4.8191964985309195,5.378680722154544,5.509411734440469,5.5419650119967825,5.262455373764947
BRA,6.949564611687044,6.9787287907422595,6.9938336424295535,7.015901134679114,7.043433741482539,7.054809340606187,7.082938156369164,7.129399763602043,7.1720915524671005,7.208844911141981,7.238668345685096,7.265422044158869,7.28568647577366,7.303492305699119,7.325019081983557,7.345066422155537,7.360890710818201,7.387728406813504,7.405204370608497,7.414005645201314,7.42171123878191,7.429820378194238,7.4338461280355626
BGR,6.2005821945669926,6.189109616424422,6.350008714874157,6.439390772392483,6.523936684045493,6.545581297927153,6.56407130612186,6.604806161442216,6.621212541731861,6.657215776268929,6.711117730960118,6.680843906762361,6.7522259588572515,6.761880387195369,6.793398258309385,6.795824353945939,6.85063457407258,6.862384145529972,6.909827519390604,6.853088618646347,6.7890019630481975,6.754749209838544,6.644760341086589
BFA,3.4411540320083915,3.4378131377612595,3.427173350920524,3.432495355725823,3.6869317023419486,3.820841429333526,4.144132717475622,4.363070458665101,4.584045474174031,4.618225005307349,4.724671013729191,4.796198210365907,5.005458734714499,5.119313714019929,5.125896956387114,5.093454056768815,5.119013245472852,4.943250437145331,4.932246913808965,5.106694345138827,4.95866710719147,4.9157513592298985,4.459984670382891
BDI,1.5784655196850805,1.584381457724494,,,,,,,,,,,,1.5825068470937977,1.5783840357140857,0.9852281360342515,0.9975025463691152,0.9863676072907088,0.9731560354421095,1.5641874061753234,1.534638273492252,0.9746770616811309,0.9880162151534646
KHM,-0.0,-0.0,-0.0,0.9984628557283827,0.9933570282728468,2.299671748762244,2.482643133122133,2.831352782081847,2.834461884794291,3.11139624012492,3.6854964090173867,3.8865686321838906,3.985425826326167,4.207207271671441,4.407688569353548,4.539622497251144,4.49807026694538,4.753217213125934,4.593530231034394,4.830759132210541,4.973957559880465,4.87529751803203,4.689443646586687
CMR,4.165801173986413,4.221675061726201,4.33277324419638,4.580237293762227,4.791586024819439,5.200841300016202,5.271160956757592,5.428120738456546,5.503949709352142,5.727487413554382,5.905469696951217,5.992265845917584,6.056705654772643,6.003674816583687,6.000970125814818,6.0354214438238944,6.129769365098469,6.24671899510154,6.299732019328295,6.3388027372540146,6.338871599019529,6.449250910088137,6.328734897814643
CAN,7.369686347429408,7.385637198178059,7.400385497357214,7.413832972824833,7.4203640084253095,7.414239994452856,7.411211100225768,7.418941116326246,7.429271849285812,7.4507937467192695,7.472551926658176,7.494684921519129,7.509747644406104,7.518368634359474,7.523838258200743,7.525806824403014,7.529321997317091,7.535131539330828,7.539764494572931,7.540763712722739,7.541796406662208,7.545754233559656,7.546215002053391
CHL,6.562221719324497,6.664296011055761,6.6722996527999605,6.740068844085297,6.797186684732228,6.785116993635339,6.851898855556809,6.874220429375346,6.9473410454870725,7.024992800297163,7.084922164059921,7.152815933255628,7.1892231466236405,7.205981001790025,7.225586803538439,7.237948861587293,7.281319101874231,7.312727566584324,7.33396655353268,7.343907757340283,7.3594425585031225,7.370427081668687,7.358662596506298
