Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ARE,0.0464,0.05612244897959185,0.04119511090991397,0.04722222222222225,0.05190311418685126,0.056790123456790104,0.03627952276600925,0.022944976609489874,0.0244269637547518,0.021498107084910748,0.02065082870246789,0.02038891779396462,0.01644397717645378,0.014686019092969491,0.014564649389167421,0.015453744867319565,0.014694140397439737,0.015021970399512204,0.01420935035339776,0.011580401743011995,0.012739331026528243,0.014251558966924122,0.01550809330529613
ARM,,0.05902777777777778,0.0488888888888889,0.059027777777777755,0.05084745762711866,0.044589774078478014,0.04443359375,0.032598714416896254,0.0310059171597633,0.03520558989518947,0.036266349583828766,0.03750000000000002,0.03250000000000002,0.041914342325864995,0.04429752066115709,0.04097181522723637,0.0470233196159123,0.035686728395061734,0.0391831396811025,0.053367536844223074,0.050775510204081685,0.06586011342155004,0.06999999999999992
ARG,0.05406427221172014,0.03920118343195273,0.04469327951250757,0.04151815549120056,0.03787773612846483,0.04124497787723123,0.031298974043360406,0.033629489603024594,0.033191613704434256,0.03182132227891154,0.035269387755101904,0.030545294686328616,0.028327020569896784,0.02198188393474594,0.02151900303800612,0.02251003100392946,0.02190136729910445,0.02391105142435175,0.019970231878985664,0.017790887538810557,0.015275849008963543,0.013812565658322704,0.013959709853490395
AUT,0.008730135588278173,0.008838390788573883,0.008345580084140483,0.00859333642087956,0.009350865130519387,0.009738541740257312,0.009521404044718004,0.008861455225200997,0.008656275812076814,0.008520414007317758,0.008702335086955944,0.008734721053013251,0.008340598838639185,0.008005932902107108,0.007861357766564003,0.007274924449695719,0.0066886833758742145,0.006219496593347969,0.0059586089062748536,0.005780319677005885,0.005762579028213047,0.005855102197016271,0.005895150748535625
AUS,0.010301734568409895,0.010134520428179788,0.010444624292271993,0.01118404950314322,0.011746618730440344,0.011903605871562766,0.011499448724709498,0.011272215376639716,0.010963490073214994,0.011097281171058359,0.011468321212429428,0.011504084593976576,0.011318468439766076,0.010730286690604522,0.009946568439467536,0.009411126041386733,0.009229824273933502,0.00924832839361378,0.009381205407367128,0.009469245874401995,0.00957043276775619,0.0096702341796709,0.009880402094625127
AZE,,,,,,,0.1234567901234568,0.11570247933884295,0.056787452677122784,0.04222924446997993,0.045778834720570795,0.048322560787934704,0.060740740740740755,0.046995835812016655,0.02646502835538754,0.02413223140495867,0.02469135802469134,0.02892561983471073,0.03703703703703706,0.023992756903576263,0.0222222222222222,0.02154553289284687,0.025147928994082816
BIH,,,,,0.03409090909090907,0.030381944444444423,0.02588757396449701,0.028616024973985455,0.038781959207124385,0.028166638556248916,0.024775086505190315,0.019928613920285537,0.018518518518518542,0.02783203125,0.022923875432525952,0.03248399951696656,0.032769394909312605,0.0309188561474815,0.035427319211103,0.030372933487120352,0.0328,0.03703703703703705,0.05103969754253306
BGD,,,,,,0.06616257088846879,0.07291666666666667,0.07936507936507933,0.08033240997229918,,,,0.07958477508650517,0.06747404844290657,0.06003244997295837,0.05568153187200805,0.05713296398891964,0.04552469135802471,0.0495867768595041,0.04272959183673469,0.043058181054400346,0.058054594386774315,0.050619834710743786
BEL,0.01976303441146646,0.020579939723695418,0.020670830133116824,0.020919065834675832,0.019803181066806046,0.019165263644444496,0.018194362593732076,0.017316890884104243,0.01675157488345546,0.016183835823765334,0.015532545284722128,0.014646794835303387,0.013970763704574403,0.013293978755443431,0.012794265364066968,0.011909377912144428,0.011114965182835172,0.010255679744524302,0.009915720293856742,0.00983670232129862,0.009554287846945892,0.00944966314507545,0.009130472283708302
BGR,0.01795684321714199,0.017715215934118563,0.015566430653894169,0.014029121054309658,0.01414794946868412,0.012487683243178038,0.013864092221561,0.016697445367805458,0.014082501023696334,0.014739229024943304,0.014275689662734079,0.01354510100133716,0.012461355529132002,0.012392899408284036,0.011172831713167538,0.011665527209694167,0.011836436546861253,0.013487016788987087,0.012836719188058428,0.01239722296356143,0.011517615176151748,0.010438143636177663,0.011768977743602868
BHR,,,,,,,,0.08024691358024691,0.06198347107438017,0.061224489795918345,0.055555555555555566,0.06172839506172839,,,0.09297052154195008,0.06617420744844563,0.06103515625,0.06081532635330816,0.04625000000000002,0.053333333333333344,0.05357142857142858,0.06122448979591834,0.07958477508650519
BRA,0.014093652445369427,0.014974988104882786,0.015429692177907175,0.015078524470416261,0.013801249809480198,0.013726299913817864,0.012327945993007251,0.011480216576426496,0.011400336850260467,0.010957728212924803,0.011326466804188895,0.01100851716642698,0.010877100306753162,0.010955374057485565,0.009679108485499441,0.008945722080536126,0.008290255836211523,0.007646074925313527,0.008020532460552085,0.008709970678043777,0.008667068536031153,0.009498022271722405,0.00992871427538799
BLR,0.022222222222222216,0.02791111111111111,0.02537396121883654,0.01920496089592299,0.021176470588235276,0.015761629341300966,0.015040864449073975,0.016996184530003483,0.017273914936855837,0.018093437753173076,0.02198078567476482,0.022705948583223848,0.019585429050449646,0.01710383991346672,0.01566926028183155,0.012934614928206955,0.011814369123653417,0.012777777777777777,0.012635522959183675,0.014010117040269792,0.015722314049586794,0.01724281549354435,0.020742502312062344
CAN,0.016927753868793895,0.017650052470271835,0.01818374383733625,0.018969970495931788,0.01884313905994203,0.01794172457019821,0.017360307534584108,0.016394812122125353,0.016196105582065606,0.01617735423042494,0.01599539969117439,0.015707666522426517,0.015197810471459112,0.014649949200136979,0.014162510906584236,0.013776710503277627,0.013072024072241093,0.012426139418767527,0.01242923363783268,0.012283063266152269,0.012406198174668735,0.013043210952200433,0.01298998224997773
