Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ARE,6.25,7.0,11.75,15.0,17.0,22.5,27.75,33.5,40.75,43.0,50.75,62.0,78.25,104.5,119.0,153.5,183.25,204.25,237.0,242.5,255.0,208.25,143.0
ARM,,6.0,7.5,12.0,14.75,14.5,16.0,16.5,16.25,15.25,14.5,10.0,10.0,20.25,27.5,34.25,33.75,36.0,35.25,35.25,43.75,28.75,20.0
ARG,28.75,39.0,56.75,67.0,73.5,92.75,99.25,115.0,146.25,168.0,175.0,179.25,163.75,148.5,158.75,169.25,170.25,180.75,182.25,181.75,200.25,165.25,118.0
AUT,902.5,1005.25,1207.0,1427.5,1603.25,1866.75,1953.0,2180.5,2462.25,2687.0,2981.25,3069.0,3222.25,3430.0,3623.25,3975.25,4132.75,4278.75,4404.5,4518.5,4629.25,4059.0,2953.75
AUS,1947.25,2335.75,2799.0,3301.0,3748.25,3992.0,4135.25,4316.75,4481.0,4587.25,4637.5,4582.25,4529.0,4435.75,4415.0,4575.0,4592.75,4830.5,5028.25,5041.75,5394.0,4119.0,2809.0
AZE,,,,,,,4.5,5.5,10.75,14.75,14.5,14.25,11.25,10.25,11.5,13.75,13.5,11.0,9.0,11.75,15.0,14.75,13.0
BIH,,,,,11.0,12.0,13.0,15.5,14.75,19.25,21.25,20.5,18.0,16.0,17.0,22.75,20.25,20.75,18.5,12.75,12.5,9.0,5.75
BGD,,,,,,5.75,6.0,5.25,4.75,,,,4.25,8.5,10.75,15.75,19.0,18.0,16.5,14.0,17.25,12.75,11.0
BEL,1264.25,1509.5,1800.75,2028.25,2218.25,2343.75,2420.5,2612.0,2794.75,3103.25,3342.75,3494.25,3651.0,3780.25,4017.75,4175.5,4228.25,4267.0,4243.75,4233.0,4346.25,3724.25,2621.5
BGR,35.25,44.25,49.0,48.5,55.25,55.75,53.25,57.0,59.25,63.0,75.5,78.25,72.5,81.25,89.0,107.75,129.5,135.5,137.25,130.75,123.0,107.75,76.5
BHR,,,,,,,,4.5,5.5,5.25,6.0,4.5,,,10.5,14.25,16.0,16.75,10.0,7.5,7.0,5.25,4.25
BRA,193.75,241.5,306.5,370.0,405.0,472.0,538.0,612.5,698.5,816.75,932.5,1055.25,1141.75,1222.5,1330.0,1468.25,1591.25,1674.25,1766.5,1842.75,1903.0,1546.0,1078.0
BLR,18.75,18.75,23.75,36.75,42.5,47.75,52.25,46.5,41.5,40.25,35.25,36.5,40.5,43.0,41.75,39.75,47.75,45.0,56.0,71.0,68.75,61.25,43.5
CAN,2699.5,3174.0,3912.5,4504.0,5156.5,5754.0,5990.75,6390.5,6847.0,7324.25,7660.25,7760.5,7837.75,7834.25,8204.75,8790.25,9108.5,9365.25,9361.0,9330.5,9335.75,7209.75,4956.75
CHE,2132.75,2441.5,2807.0,3248.25,3707.75,4224.0,4577.5,4938.5,5391.75,5729.75,6506.0,6809.75,6962.0,7314.5,7244.75,7697.25,7953.75,7975.25,8165.75,8175.0,8364.5,7513.25,5403.5
CHL,18.75,22.75,26.5,25.75,24.75,29.25,36.25,47.5,57.0,63.5,88.0,121.25,164.25,226.0,278.25,308.0,343.5,374.75,401.75,440.0,482.75,381.75,264.75
CHN,290.5,362.75,956.0,1348.25,1671.75,2192.0,2314.25,3123.75,4542.75,6351.5,8377.0,10897.0,14403.0,19094.75,24287.0,30508.75,36198.0,42324.25,52022.5,63640.0,76194.75,63432.5,45743.0
COL,10.5,10.75,14.5,21.75,32.0,42.5,49.25,50.75,48.75,54.25,64.5,85.75,105.5,124.75,143.5,180.75,200.25,219.75,256.25,264.75,294.75,241.5,163.25
CRI,4.75,6.25,6.5,9.5,9.5,9.75,12.25,12.25,14.5,17.25,16.0,16.25,18.0,22.0,21.75,31.25,34.75,38.75,48.25,51.0,53.5,47.75,35.0
CUB,18.25,23.0,20.75,23.0,31.25,40.75,45.75,45.75,59.0,52.0,54.25,47.75,29.75,27.5,25.25,29.0,27.25,22.5,20.75,16.5,18.75,20.0,13.75
CYP,7.0,8.25,12.5,15.25,20.0,21.25,21.5,23.75,24.25,26.75,28.0,31.75,30.5,31.25,29.25,30.25,32.25,36.75,40.5,37.75,39.25,34.25,28.0
CZE,102.75,129.75,150.5,173.75,197.0,204.25,236.25,252.5,294.25,335.25,409.75,455.75,455.75,463.0,449.25,504.75,585.0,671.5,693.5,683.25,685.0,569.5,417.25
DEU,15574.0,18399.0,21564.5,24397.75,26700.0,28878.5,30352.75,32010.5,34211.75,36305.5,38919.0,40122.5,41393.5,43704.25,44212.0,45903.5,46412.0,45263.5,45489.75,46240.25,47259.75,42236.25,30945.5
