Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,,,,,,,4.75,6.75,11.5,22.0,25.5,32.75,37.0,35.75,38.0,37.5,34.25,44.0,50.0,86.5,133.75,108.75,141.5
ALB,8.0,4.75,4.75,,8.5,9.0,12.75,15.75,16.25,22.75,31.0,48.25,58.75,80.75,69.0,155.75,240.5,304.0,361.0,410.5,414.25,511.0,578.5
DZA,745.75,854.5,1046.0,1239.75,1538.5,1979.25,2330.5,2977.5,3725.5,4636.25,5921.25,6866.5,7740.25,8464.0,9239.75,10389.0,12174.25,14231.0,16815.25,19193.25,21723.75,22984.5,24370.0
AGO,,,,,,,,10.25,12.25,14.0,15.0,14.5,19.5,31.5,30.75,30.75,35.0,34.25,59.5,60.25,50.5,43.75,37.5
ARG,11499.25,12481.5,13242.0,14145.75,14852.25,15339.0,15762.0,16700.75,17713.0,19047.0,20750.25,22294.5,24051.75,25644.0,26819.25,27982.25,29136.25,30439.25,31778.25,33094.5,34376.75,36389.5,37840.0
ARM,493.5,529.75,543.0,625.75,709.25,711.25,781.5,772.25,815.25,889.0,897.0,1011.0,1045.5,1152.0,1265.0,1327.25,1304.75,1205.25,1236.25,1276.0,1389.0,1436.25,1354.25
AUS,65168.0,68559.0,71582.0,74983.75,79399.5,83997.75,91229.5,100658.5,110180.5,120337.25,130461.0,140220.0,150968.75,161778.25,174105.75,187917.0,203350.75,219634.25,232011.0,244417.5,256719.0,269036.75,285023.75
AUT,20004.75,21116.25,22219.25,23685.75,25706.25,27578.25,29708.0,32041.5,34346.5,37121.75,39847.25,42330.5,44901.25,47391.25,49895.25,52941.25,56294.0,59914.0,62728.25,65414.0,67828.0,70294.0,74605.25
AZE,149.25,113.0,111.25,170.5,189.25,248.5,495.5,528.75,526.75,647.25,761.75,899.25,1093.5,1215.5,1163.25,1150.0,1010.5,1111.25,1325.75,1668.5,2041.75,2609.5,3015.75
BHR,69.75,63.0,84.5,78.0,80.25,104.0,145.5,198.0,250.0,291.5,297.75,297.25,279.5,276.75,307.0,360.0,430.75,565.75,599.5,849.75,1059.75,1381.25,1860.5
BGD,938.75,975.0,1106.25,1175.5,1296.5,1381.75,1567.75,1898.75,2249.75,2749.0,3331.5,3953.25,4544.0,5288.0,5989.0,6981.25,7848.75,9613.0,12184.0,14204.5,18905.5,22715.25,28230.75
BLR,3214.5,3239.75,3294.5,3465.25,3708.25,3799.0,3757.75,3705.0,3719.75,3588.25,3482.25,3370.5,3096.25,3014.25,3014.0,3149.75,3234.5,3363.75,3532.5,3794.75,4365.0,4689.25,4891.75
BEL,31081.5,32301.25,33354.75,34563.25,36819.25,39489.25,42802.5,46299.25,49334.5,52715.5,55930.5,59041.0,62610.25,66017.25,69372.0,72865.5,76401.75,79961.75,82246.75,84772.0,86459.25,88844.75,93843.0
BEN,73.25,81.75,78.5,83.75,93.25,109.75,136.75,188.0,245.0,277.75,325.0,348.0,380.0,436.5,493.0,552.25,604.5,586.5,666.25,761.5,759.0,863.75,875.75
BOL,131.75,141.5,138.5,138.0,130.25,161.25,197.5,235.0,297.75,364.0,411.75,461.0,429.25,423.75,420.0,425.75,430.0,484.5,451.0,438.25,446.25,465.5,502.75
BIH,4.75,5.5,45.5,55.75,67.0,92.75,147.0,207.75,300.0,381.25,457.75,676.25,906.5,1026.75,1094.0,1083.25,1178.25,1261.0,1577.5,2019.0,2333.25,2823.0,2979.75
BWA,107.25,113.5,123.0,116.5,163.25,197.25,248.5,319.25,357.25,404.5,403.25,326.25,392.25,347.75,361.25,409.75,380.5,434.75,484.0,684.75,919.25,1033.25,1007.25
BRA,28734.5,32362.0,35711.25,39833.0,44380.5,49258.5,54814.5,62731.5,71287.25,81643.5,92859.0,101665.0,110953.75,120567.75,129142.75,139442.25,150243.0,161691.0,174400.5,186752.25,199760.0,213359.25,228014.75
BGR,5201.75,5029.0,5221.75,5229.0,5488.75,5766.5,6196.5,6563.0,7076.25,7446.25,8003.75,8262.5,8228.25,8340.75,8284.25,8327.25,8585.0,9044.25,9736.0,10651.25,12263.5,14015.0,15430.75
BFA,124.5,129.5,137.75,137.5,170.5,207.25,254.5,330.0,376.75,432.5,487.0,509.0,586.25,656.5,681.75,739.0,809.75,801.75,849.0,927.75,906.5,932.75,901.5
BDI,17.25,12.5,,,,,,,,,,,,10.5,13.25,10.5,12.75,12.75,13.0,23.5,22.5,22.75,25.25
KHM,4.5,5.5,5.75,16.25,18.25,51.0,75.5,105.75,136.0,150.75,201.5,235.0,254.5,304.75,364.5,413.75,452.75,570.0,564.5,670.25,757.5,743.25,743.0
CMR,287.75,311.5,342.25,395.75,481.75,651.0,753.25,904.25,1044.0,1215.0,1401.5,1530.5,1635.5,1668.0,1764.25,1917.75,2096.75,2399.75,2708.5,3009.0,3326.75,3895.0,4295.5
CAN,106969.75,107378.25,107805.75,111583.5,118801.0,127630.75,140617.5,155042.75,167963.25,179936.0,191154.0,199362.5,206847.0,214877.0,220219.0,227970.25,237824.0,248370.0,257487.0,266299.0,275366.25,284852.25,299313.0
CHL,4265.75,4624.0,4794.0,5445.0,6140.75,6820.5,7819.75,8844.75,9920.75,11260.5,12598.25,13847.25,15154.75,16565.0,17848.5,19873.75,22277.25,25378.0,28240.75,30868.0,34258.25,37558.5,41788.25
CHN,90818.5,103428.25,121186.5,137165.0,160377.0,196494.5,258282.5,337692.25,427449.75,521361.5,616507.0,701358.75,790794.75,866060.5,932556.0,1020895.75,1109137.5,1229025.25,1343820.25,1481810.25,1679710.25,1876419.25,2130991.0
COL,1228.0,1465.0,1550.0,1817.75,2072.0,2419.75,2801.75,3411.25,4099.75,5305.5,6677.25,8204.75,10110.25,11676.5,13553.25,15596.5,18066.0,21074.25,23968.25,27510.5,31334.0,34929.0,38539.75
COG,24.25,34.5,34.0,35.5,45.0,59.0,89.0,114.5,137.0,165.5,210.5,243.0,287.25,355.25,397.75,500.5,579.5,600.0,637.75,636.75,649.75,598.25,589.0
CRI,357.75,354.5,337.75,367.5,417.25,476.0,569.25,626.75,745.75,805.25,861.75,960.25,993.0,1032.5,1051.75,1104.25,1227.0,1436.5,1612.0,1831.25,2011.5,2302.5,2360.75
HRV,3409.75,3685.25,3957.5,4205.75,4961.25,5434.75,6406.25,7173.0,8118.0,9301.0,10181.0,11160.0,12079.5,12639.5,13026.5,13490.75,13998.75,14465.25,14985.0,15874.75,16677.5,18268.5,19836.25
