Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,107939593.0,113300675.0,102631207.25,85980297.75,104514407.0,120368943.5,154571382.25,189962532.25,229836514.75,326386560.0,582664240.0,671264350.75,723694682.0,750907645.25,633083463.5,692526654.0,791578985.0,926071563.5,987660818.25,1106680962.75,1433525422.25,1572637562.5,1791389971.5
ALB,329827085.75,324428216.0,359446679.5,386589052.75,432220678.25,517148626.0,600106104.5,720210969.0,892395534.5,1309152732.5,2063487020.25,2284768355.5,2526786228.25,2485015059.25,2204277338.25,2345450000.75,2310715600.25,2339684114.75,2275987994.0,2352997861.25,2503803322.25,2579617946.25,2854096520.75
DZA,12514994148.5,15262449597.75,16666824314.0,19003425126.25,22165368536.0,24745796361.75,31625065022.0,40780700525.0,49897177029.0,62439235023.5,62559354517.5,63810989692.75,67475941191.5,65433188335.25,71247232369.25,71795792118.0,62126951378.25,51217801608.0,42747795565.0,36509705813.75,35268962654.5,32398784526.0,31846878022.25
AGO,3908960679.5,4649865746.5,5079979053.5,5999766869.5,7001903689.25,8062487581.75,11502786287.5,16805529871.75,25987816657.0,38329024863.75,43900969954.0,50227171984.5,56055299169.5,59842149229.0,67644847618.75,69847502796.25,61849483876.25,50626836863.75,41865111686.5,37445845459.25,36603278414.25,34822187916.0,34057545430.25
ARG,26247818611.0,26706994828.0,26605190263.25,26342071203.5,27853312889.75,29953410425.25,33409737114.25,38646589821.75,45410582771.75,54411039494.5,58248861363.5,63669676745.5,70304780313.75,72589798438.75,77592627656.75,77528352424.25,71016140141.5,65627596759.5,61329446037.25,59366028703.5,60918390473.5,59941663554.5,62221856434.25
ARM,205716869.5,261515456.75,294440877.25,382958910.0,519319757.5,627841878.5,789874596.5,958340382.0,1108714991.25,1214114180.5,1146167464.75,1116171535.5,1154729609.0,1281104115.0,1521618477.25,1673553209.5,1702350824.25,1827649787.25,2053604743.75,2366066282.75,2783813428.0,2953669807.5,3137827423.5
AUS,59858746249.75,60428432374.5,60473969908.75,62557332025.0,66645807250.5,72589340352.5,84264067109.75,99485533509.0,118779883209.25,145072530531.25,158470676017.75,181515512098.5,212835385751.0,229808776147.5,255212382240.5,263109560137.25,245448830245.0,230479114943.5,226791101690.5,229767528704.25,249744358365.0,262551680508.0,285615765117.75
AUT,59083454610.5,60324721101.5,62250765997.0,64791337107.25,71265758394.5,82964838336.75,95551645164.5,110607455041.5,126931807591.0,141920365039.0,145318044956.0,148361910139.25,152540415794.75,150196769106.5,159908060361.5,166818437898.5,161372641136.75,158009521126.75,156171174232.5,157446478337.75,163576617523.75,167360969367.5,176692647323.0
AZE,853986016.25,1187162191.5,1608988768.75,2054715167.25,2520640239.5,2989429712.75,3688955073.5,5096640713.5,6927350821.5,17771831502.75,20544957204.75,24810586880.0,29550042122.0,24328256565.75,26637458889.75,26040759857.5,22115304603.25,18911397671.5,16371247481.25,15684700082.25,17232579818.75,17309197895.0,19120459615.25
BHR,1932884315.5,2333568314.0,2743000895.75,3048850610.25,3423741045.75,3619512466.5,4248323800.75,5095888741.5,6052659439.0,7607926897.5,7716324621.25,8497103250.25,9710562420.0,10441957057.25,12431140007.0,15964129689.75,16985842275.0,16021604910.25,15196949231.25,12739103491.5,11954188158.5,12764756108.25,13745757180.75
BGD,5338455917.75,5906511182.75,6307830286.0,6634547857.75,7473488155.75,8360790672.75,9320868479.0,11172966554.0,12931396753.5,14693754848.5,16559222519.0,18370244724.5,21461512574.5,24117906374.75,27449892720.0,30605972269.5,32773126344.25,35347638777.0,37606497662.75,40349950268.25,43003990371.5,43671073031.25,46403248258.25
BLR,4171540932.75,5605015727.75,6984710932.25,7188933297.75,8235727071.0,9821877739.75,11922966004.25,14870805155.5,18416907142.5,23197050835.0,24830083739.25,26120436778.75,30122590226.0,33229795901.5,36757006972.0,39569872254.5,36023387080.25,30444393460.75,28484537193.25,27762358075.0,29187626520.25,30480786233.75,31968557356.25
BEL,41233559546.5,84018946070.0,127506382588.5,176299122494.5,192478299297.75,219098620851.25,252132346640.0,287265866847.0,328135841477.25,366065044400.0,373816934074.75,382733775177.25,394189618652.25,390152314694.75,420465787167.5,436194630330.75,417797438450.0,405996311199.5,390238486333.0,390036709516.75,401557234245.5,387748759597.75,389666406279.75
